seller,region,leadtime
2380328887,ACCap,Std6
2380328887,AMCap,Std3
2380328887,AMCap,Std5
2380328887,BACap,Std4
2380328887,BACap,Std4
2380328887,BAInt,Std3
2380328887,CECap,Std7
2380328887,CECap,Std5
2380328887,CEInt,Std5
2380328887,DFCap,Std3
2380328887,ESCap,Std2
2380328887,ESInt,Std4
2380328887,GOCap,Std6
2380328887,GOCap,Std5
2380328887,GOInt,Std5
2380328887,GOInt,Std5
2380328887,MACap,Std4
2380328887,MACap,Std5
2380328887,MAInt,Std6
2380328887,MGCap,Std4
2380328887,MGInt,Std5
2380328887,MSCap,Std4
2380328887,MSCap,Std6
2380328887,MSInt,Std6
2380328887,MSInt,Std5
2380328887,MTCap,Std6
2380328887,MTInt,Std6
2380328887,MTInt,Std5
2380328887,PACap,Std6
2380328887,PACap,Std3
2380328887,PBCap,Std5
2380328887,PBInt,Std5
2380328887,PECap,Std3
2380328887,PECap,Std3
2380328887,PEInt,Std4
2380328887,PICap,Std5
2380328887,PICap,Std5
2380328887,PRCap,Std4
2380328887,PRInt,Std5
2380328887,RJCap,Std4
2380328887,RJInt,Std4
2380328887,RNCap,Std6
2380328887,ROInt,Std5
2380328887,RSCap,Std5
2380328887,RSInt,Std5
2380328887,SCCap,Std4
2380328887,SCInt,Std4
2380328887,SECap,Std3
2380328887,SECap,Std5
2380328887,SEInt,Std6
2380328887,SPCap,Std1
2380328887,SPCap,Std2
2380328887,SPInt,Std2
2380328887,SPInt,Std3
2381230949,MGCap,Std5
2381230949,MGInt,Std5
2381230949,RJInt,Std2
2381230949,RSInt,Std5
2381230949,SPCap,Std4
2381230949,SPInt,Std4
2386483443,MGInt,Std4
2386483443,PECap,Std3
2386483443,PRInt,Std3
2386483443,RRCap,Std7
2386483443,SPCap,Std1
2386483443,SPInt,Std5
2398914481,ACCap,Std6
2398914481,ALCap,Std6
2398914481,AMCap,Std3
2398914481,AMInt,Std4
2398914481,APCap,Std5
2398914481,APInt,Std6
2398914481,BACap,Std5
2398914481,BAInt,Std5
2398914481,CECap,Std6
